Timestamp,Year,Month,Day,Hour Ending,Maximum energy deliverable before curtailment (MWh),Energy actually delivered (MWh),Curtailment (MWh),Price ($/MWh) at the nodal level in the Real Time market
1/1/2023 1:00,2023,1,1,1,0,0,0,15.49
1/1/2023 2:00,2023,1,1,2,18.3,10.3,8,8.27
1/1/2023 3:00,2023,1,1,3,8.1,0.1,8,6.88
1/1/2023 4:00,2023,1,1,4,71.6,63.6,8,2.28
1/1/2023 5:00,2023,1,1,5,42.1,34.1,8,-1.52
1/1/2023 6:00,2023,1,1,6,24.5,16.5,8,-2.37
1/1/2023 7:00,2023,1,1,7,59.8,51.8,8,-1.93
1/1/2023 8:00,2023,1,1,8,59.8,51.8,8,-1.02
1/1/2023 9:00,2023,1,1,9,43.4,35.4,8,-1.03
1/1/2023 10:00,2023,1,1,10,17.8,9.8,8,-0.02
1/1/2023 11:00,2023,1,1,11,11.1,3.1,8,-0.73
1/1/2023 12:00,2023,1,1,12,15.3,7.3,8,-0.63
1/1/2023 13:00,2023,1,1,13,21.6,13.6,8,3.78
1/1/2023 14:00,2023,1,1,14,9.7,9.7,0,14.48
1/1/2023 15:00,2023,1,1,15,10.9,10.9,0,14.36
1/1/2023 16:00,2023,1,1,16,5.9,5.9,0,8.83
1/1/2023 17:00,2023,1,1,17,7.7,7.7,0,19.09
1/1/2023 18:00,2023,1,1,18,21.4,21.4,0,15.74
1/1/2023 19:00,2023,1,1,19,45.4,45.4,0,16.15
1/1/2023 20:00,2023,1,1,20,56.7,56.7,0,21.75
1/1/2023 21:00,2023,1,1,21,72.5,72.5,0,26.42
1/1/2023 22:00,2023,1,1,22,60.7,60.7,0,25.47
1/1/2023 23:00,2023,1,1,23,57,57,0,42.03
1/2/2023 0:00,2023,1,1,24,0.6,0.6,0,35.05
1/2/2023 1:00,2023,1,2,1,0,0,0,15.73
1/2/2023 2:00,2023,1,2,2,8,0,8,5.35
1/2/2023 3:00,2023,1,2,3,8,0,8,8.47
1/2/2023 4:00,2023,1,2,4,8,0,8,3.89
1/2/2023 5:00,2023,1,2,5,8,0,8,1.29
1/2/2023 6:00,2023,1,2,6,8,0,8,-1.7
1/2/2023 7:00,2023,1,2,7,29.3,21.3,8,-3.43
1/2/2023 8:00,2023,1,2,8,43.1,35.1,8,-12.78
1/2/2023 9:00,2023,1,2,9,51.8,43.8,8,-23.94
1/2/2023 10:00,2023,1,2,10,68.7,60.7,8,-26.23
1/2/2023 11:00,2023,1,2,11,72.5,64.5,8,-24.29
1/2/2023 12:00,2023,1,2,12,72.6,64.6,8,-4.78
1/2/2023 13:00,2023,1,2,13,73.8,65.8,8,0.21
1/2/2023 14:00,2023,1,2,14,59.5,51.5,8,4.48
